ABC00031,Cronjob Script Update,Linux,true,Update scheduled script,Enhance script logic,"Modify script.","1. Edit script\n2. Deploy\n3. Schedule","Restore backup script.","Validate script output."
ABC00032,Postgres Vacuum Operation,Postgres,true,Run vacuum analyze,Improve DB performance,"Perform vacuum.","1. Execute vacuum\n2. Monitor","Restore DB snapshot.","Query execution tests."
ABC00033,WebServer Timeout Adjustment,Apache,true,Update timeout values,Increase timeout thresholds,"Modify timeout configs.","1. Backup conf\n2. Edit\n3. Reload","Revert config.","Connection timeout verification."
ABC00034,Azure AD Sync Update,Azure,true,Update AD sync rules,Modify user sync mappings,"Update Azure AD sync.","1. Modify rules\n2. Sync","Revert mapping.","User sync test."
ABC00035,ETL Job Enhancement,ETL Engine,true,Optimize ETL pipelines,Improve ETL efficiency,"Modify ETL logic.","1. Update pipelines\n2. Validate","Rollback to old job.","End-to-end ETL testing."
ABC00036,WAF Rule Update,WAF,true,Update security rules,Enhance web security,"Update WAF rules.","1. Backup rules\n2. Deploy new rules","Restore backup.","Run WAF rule hit tests."
ABC00037,MQ Channel Refresh,IBM MQ,true,Refresh MQ channels,Fix stale channel connections,"Refresh channels.","1. Stop channel\n2. Start","Revert config.","Publish/consume test."
ABC00038,System Parameter Tuning,System,true,Tune system parameters,Improve performance,"Update sysctl values.","1. Edit sysctl\n2. Reload","Revert sysctl.","Performance benchmark."
ABC00039,App Log Level Change,Application,true,Update log level,Increase/decrease verbosity,"Modify logging.","1. Edit log config\n2. Reload","Restore previous log level.","Check log generation."
ABC00040,Endpoint Policy Update,MDM,true,Update device policies,Strengthen endpoint security,"Apply new MDM policy.","1. Deploy policy","Revert policy.","Device compliance test."
ABC00041,S3 Bucket Policy Update,AWS,true,Modify bucket permissions,Adjust S3 access levels,"Update bucket ACL.","1. Backup ACL\n2. Modify","Restore ACL.","Test object access."
ABC00042,OS Kernel Parameter Update,Linux,true,Modify kernel settings,Change kernel tuning values,"Modify kernel params.","1. Edit /etc/sysctl\n2. Reload","Restore old params.","Kernel behavior test."
ABC00043,Git Branch Protection Update,GitHub,true,Update protection rules,Strengthen branch security,"Modify branch rules.","1. Update settings","Revert rules.","Verify commit restrictions."
ABC00044,Patch Deployment for Middleware,Middleware,true,Apply middleware patch,Apply latest middleware fixes,"Deploy middleware patch.","1. Stop service\n2. Patch\n3. Start","Rollback patch.","Middleware smoke test."
ABC00045,Kafka Topic Retention Update,Apache Kafka,true,Modify Kafka topic retention policy,Update retention period for Kafka topics,"Adjust Kafka retention settings to manage disk usage and meet compliance.","1. Identify topic\n2. Update retention.ms value\n3. Restart brokers if needed","Revert retention.ms to old setting.","Consume/produce test messages and validate topic retention behavior."
ABC00046,Container Image Upgrade,Container Registry,true,Upgrade container image used by microservices,Deploy new container image version,"Update microservice image to the new version.","1. Pull new image\n2. Update deployment\n3. Restart pods","Rollback to previous image tag.","Validate pod startup, service logs, and endpoint functionality."
ABC00047,Service Mesh Rule Update,Service Mesh,true,Update Istio/Linkerd routing rules,Modify service mesh traffic rules,"Change routing/MTLS/service mesh policies.","1. Backup existing rules\n2. Apply new config\n3. Validate cluster traffic","Revert mesh rules to previous version.","Run service routing tests and validate MTLS behavior."ABC00048,Web Application Cache Purge,CDN,true,Purge CDN/application cache,Clear outdated CDN caches,"Invalidate CDN cache for updated static content.","1. Trigger cache purge\n2. Validate purge logs","No-op rollback (cache repopulates automatically).","Load static assets and verify fresh content delivery."
ABC00049,Secrets Rotation Update,Secrets Manager,true,Rotate application secrets/keys,Enhance security through secret rotation,"Update secrets stored in key vault/secrets manager.","1. Generate new secret\n2. Update application configs\n3. Restart affected services","Reapply old secret if required.","Validate application authentication and secure access after rotation."
ABC00050,Reporting Engine Configuration Tuning,Reporting Engine,true,Optimize reporting engine settings,Improve report generation performance,"Tune configuration parameters in reporting system.","1. Modify config files\n2. Restart reporting service","Restore old tuning parameters.","Run sample reports and validate response time."
ABC00051,Microservice Config Parameter Update,Microservices,true,Update microservice config values,Modify config parameters for microservice stability,"Update key-value configs in microservice environment.","1. Backup config\n2. Apply new parameters\n3. Redeploy service","Revert config to backup.","Validate logs, API responses, and service health."
ABC00052,Distributed Cache Parameter Tuning,Redis Cluster,true,Tune Redis cluster parameters,Tune Redis settings for performance,"Modify Redis cluster parameters.","1. Edit redis.conf\n2. Reload Redis\n3. Monitor latency","Revert to old redis.conf.","Run cache read/write performance tests."
ABC00053,MQ Dead Letter Queue Cleanup,Message Queue,true,Clear DLQ messages,Resolve stuck DLQ messages,"Purge DLQ queue to restore flow.","1. Backup DLQ\n2. Purge messages\n3. Restart consumers","Re-import DLQ messages.","Publish/consume validation."
ABC00054,Application Session Timeout Update,Web Application,true,Modify session timeout,Update session timeout configuration,"Edit session timeout in application settings.","1. Update timeout\n2. Deploy build","Revert timeout value.","Validate user login/session expiry."
ABC00055,Cloud Storage Lifecycle Policy Update,Cloud Storage,true,Update lifecycle policy,Enhance storage lifecycle rules,"Modify lifecycle policy for cloud storage.","1. Update policy JSON\n2. Apply\n3. Validate logs","Revert to previous policy.","Upload/download test with retention rules."
ABC00056,NTP Configuration Correction,System,true,Correct NTP sync settings,Fix incorrect NTP server entries,"Update NTP configuration.","1. Modify ntp.conf\n2. Restart NTP","Restore old config.","Check clock skew and drift."
ABC00057,HA Proxy Routing Rule Adjustment,HAProxy,true,Modify routing rules,Update HAProxy routing map,"Adjust routing logic.","1. Edit haproxy.cfg\n2. Reload service","Restore previous cfg.","Test route distribution."
ABC00058,Windows GPO Policy Update,Windows AD,true,Update AD GPO settings,Modify GPO rules,"Apply revised GPO settings.","1. Modify GPO\n2. Push update","Restore old GPO.","Validate domain policy enforcement."
ABC00059,Container Memory Limit Adjustment,Docker,true,Increase container memory limits,Modify container memory resources,"Update memory limits in compose/deployment.","1. Change memory settings\n2. Restart container","Revert memory values.","Stress test memory usage."
ABC00060,ETL Connector Driver Upgrade,ETL,true,Upgrade ETL DB driver,Apply new driver for ETL jobs,"Replace DB connectors.","1. Stop ETL\n2. Install driver\n3. Start jobs","Reinstall old driver.","Run sample ETL extraction tests."
ABC00061,App Feature Flag Toggle,Feature Management,true,Toggle feature flag,Enable/disable application feature,"Modify feature flag.","1. Update flag in dashboard","Revert toggle.","Validate feature behavior visually."
ABC00062,Proxy PAC File Update,Proxy Server,true,Update PAC file,Modify proxy auto-config rules,"Edit PAC script.","1. Modify PAC\n2. Publish\n3. Validate","Restore old PAC.","Browser validation tests."
ABC00063,VM Disk Expansion,VMware,true,Expand VM disk,Increase virtual disk capacity,"Modify VM disk size.","1. Resize disk\n2. Expand partition","Shrink disk (if supported) or restore snapshot.","Check disk space availability."
ABC00064,CI/CD Pipeline Variable Update,CI/CD,true,Update pipeline variables,Modify CI/CD environment variables,"Change pipeline config.","1. Edit variables\n2. Trigger pipeline","Revert variables.","Run build/test pipeline."
ABC00065,Backend Service Timeout Change,Backend Service,true,Modify API timeout,Increase API timeout thresholds,"Modify timeout config.","1. Edit config\n2. Redeploy","Restore config.","API latency tests."
ABC00066,File Share Permission Update,File Server,true,Update directory permissions,Modify folder access rules,"Apply ACL changes.","1. Backup ACL\n2. Apply new ACL","Restore ACL.","Test access from sample users."
ABC00067,Core Switch VLAN Update,Network Switch,true,Add/update VLAN entries,Modify VLAN configuration,"Add/modify VLAN rules.","1. Add VLAN\n2. Apply changes","Remove VLAN.","Ping/VLAN connectivity tests."
ABC00068,Syslog Forwarding Rule Update,Syslog Server,true,Modify syslog forwarding,Update log forwarding targets,"Add/update syslog rule.","1. Modify rsyslog.conf\n2. Restart syslog","Restore previous config.","Validate log forwarding."
ABC00069,SMTP Relay Configuration Update,Mail Server,true,Update SMTP settings,Modify SMTP relay rules,"Change relay hosts.","1. Edit relay config\n2. Restart mail service","Revert settings.","Send test emails."
ABC00070,Autoscaling Threshold Update,Cloud Autoscaling,true,Update autoscale thresholds,Modify CPU/memory triggers,"Update scaling policy.","1. Modify thresholds\n2. Apply policy","Revert policy.","Load test scaling behavior."
ABC00071,Content Delivery Rule Update,CDN,true,Update CDN rules,Modify CDN routing rules,"Apply CDN configuration.","1. Edit rule\n2. Push update","Rollback rule.","Test content delivery paths."
ABC00072,DB Connection Pool Size Update,App Server,true,Increase DB pool size,Modify connection pool config,"Update datasource settings.","1. Edit config\n2. Restart app","Restore pool size.","Load testing."
ABC00073,Index Fragmentation Check,SQL Server,true,Check & fix fragmentation,Run index fragmentation maintenance,"Execute index maintenance.","1. Identify indexes\n2. Rebuild/reorganize","Restore backup.","Check index fragmentation report."
ABC00074,Vulnerability Scanner Update,Security Scanner,true,Update scanner signatures,Apply latest vulnerability signatures,"Update signatures.","1. Fetch updates\n2. Apply\n3. Scan","Revert signature patch.","Run scan validation."
ABC00075,Data Archival Job Update,Archival Engine,true,Modify archival thresholds,Adjust archival durations,"Edit archival config.","1. Change retention\n2. Deploy","Restore previous config.","Test archival/retrieval."
ABC00076,Backup Compression Enablement,Backup Engine,true,Enable backup compression,Turn on compression for backups,"Enable backup compression.","1. Modify config\n2. Test backup","Disable compression.","Validate backup size/time."
ABC00077,Cloud IAM Role Update,Cloud IAM,true,Update IAM policies,Modify IAM permissions,"Apply policy update.","1. Backup IAM policy\n2. Apply change","Restore old policy.","Permission validation."
ABC00078,Network Route Table Update,Router,true,Modify routing table,Update route entries,"Change network routes.","1. Add/modify routes\n2. Apply","Delete added routes.","Ping/trace-route tests."
ABC00079,Kafka Broker Config Tune,Apache Kafka,true,Tune Kafka brokers,Modify Kafka broker settings,"Apply performance tuning.","1. Edit server.properties\n2. Restart brokers","Restore old file.","Producer/consumer tests."
ABC00080,Tomcat JVM Parameter Update,Tomcat,true,Update JVM params,Modify memory/GC settings,"Update JVM options.","1. Modify setenv.sh\n2. Restart Tomcat","Restore JVM params.","Test heap, GC logs."
ABC00081,API Token Rotation,API Gateway,true,Rotate API tokens,Enhance API security,"Generate new API tokens.","1. Create token\n2. Update services\n3. Validate","Switch to old token.","API authentication tests."
ABC00082,Data Pipeline Retry Logic Update,Data Pipeline,true,Update retry logic,Modify failure retry settings,"Change retry config.","1. Update YAML\n2. Deploy","Rollback config.","Run pipeline with controlled failures."
ABC00083,Print Server Queue Cleanup,Print Server,true,Clear print queue,Fix stuck print jobs,"Purge print queue.","1. Stop spooler\n2. Clear queue\n3. Start","Restore backup files.","Test print job cycle."
ABC00084,Azure Function Timeout Update,Azure Functions,true,Update function timeout,Increase processing timeout,"Modify host.json.","1. Edit timeout\n2. Redeploy","Revert timeout.","Trigger function and validate behavior."
ABC00085,ElasticSearch Replica Count Update,ElasticSearch,true,Modify replica count,Improve ES redundancy,"Update index settings.","1. Apply PUT _settings\n2. Validate","Restore replicas.","Index health tests."
ABC00086,Service Dependency Mapping Update,CMDB,true,Update CMDB services,Enhance service dependency graphs,"Update CI relations.","1. Edit CI links\n2. Save","Revert relations.","Run CMDB impact analysis."
ABC00087,Session Cookie Policy Update,Web App,true,Update cookie policies,Modify cookie flags for security,"Edit cookie settings.","1. Change SameSite/secure\n2. Deploy","Revert cookie flags.","Validate cookie behavior."
ABC00088,Nexus Repository Cleanup,Nexus,true,Remove old artifacts,Reduce storage usage,"Delete unused artifacts.","1. Identify artifacts\n2. Delete","Restore from backup.","Artifact fetch tests."
ABC00089,DB Maintenance Job Update,Database,true,Modify DB maintenance jobs,Optimize maintenance job schedule,"Modify DB job schedule.","1. Edit job\n2. Test run","Restore job.","Check DB performance."
ABC00090,Pod Resource Quota Update,Kubernetes,true,Update resource quotas,Modify namespace quotas,"Change quota settings.","1. Update YAML\n2. Apply","Rollback YAML.","Deploy sample pods to test quota."
ABC00091,Zabbix Template Update,Monitoring,true,Update monitoring templates,Apply new monitoring templates,"Import new template.","1. Import XML\n2. Link hosts","Rollback to old template.","Validate triggers."
ABC00092,App Feature Deployment via Toggle,Feature Flags,true,Activate new feature,Enable new functionality,"Toggle feature deployment.","1. Enable toggle\n2. Monitor logs","Disable toggle.","Validate feature usage."
ABC00093,DB Audit Logging Enablement,Database,true,Enable DB auditing,Turn on audit logs,"Modify audit configs.","1. Enable audit log\n2. Restart","Revert config.","Validate audit log entries."
ABC00094,SMTP TLS Mode Update,Mail Server,true,Enable TLS enforcement,Force TLS for mail,"Update TLS settings.","1. Modify config\n2. Restart","Revert TLS config.","Send encrypted email tests."
ABC00095,System User Cleanup,Identity,true,Remove inactive users,Cleanup unused system accounts,"Delete unused accounts.","1. Identify users\n2. Delete","Restore users.","Authentication test."
ABC00096,Static Content Cache Control Update,Web Server,true,Modify cache headers,Update cache-control rules,"Modify headers.","1. Edit config\n2. Reload","Restore header rules.","Browser cache validation."
ABC00097,Kubernetes Node Drain & Upgrade,Kubernetes,true,Upgrade worker node,Perform safe node upgrade,"Drain node\nUpgrade packages\nUncordon","Rollback to earlier version.","Validate node readiness."
ABC00098,Splunk Forwarder Config Update,Splunk,true,Update UF configs,Modify Splunk forwarder settings,"Edit inputs.conf.","1. Update config\n2. Restart UF","Restore config.","Validate log ingestion."
ABC00099,REST API Version Deprecation,API,true,Deprecate old API version,Disable outdated API version,"Disable old version.","1. Update gateway\n2. Remove routes","Re-enable version.","Test API routing."
ABC00100,VM Snapshot Cleanup,VMware,true,Delete old snapshots,Clear outdated VM snapshots,"Remove snapshots.","1. Identify\n2. Delete snapshot","Restore snapshot backup.","Check VM performance."
ABC00101,Sybase Database Log Segment Expansion,Sybase,true,Expand Sybase DB log segment,Sybase log segment nearing full capacity; expansion required,"Increase Sybase log segment to prevent transaction failures.","1. Check current log usage\n2. Alter database to extend log segment\n3. Validate with DBA tools","Restore DB from last backup if expansion fails.","Run transaction tests and log usage validation."
ABC00102,Oracle Tablespace Autoextend Enablement,Oracle,true,Enable autoextend on tablespace,Enable autoextend to avoid ORA-01653 errors,"Turn on autoextend for target Oracle tablespace.","1. Identify tablespace\n2. Alter tablespace autoextend on\n3. Validate growth settings","Disable autoextend and restore original settings.","Insert sample data and validate storage growth."
ABC00103,MySQL Index Optimization Maintenance,MySQL,true,Optimize fragmented indexes,Improve MySQL performance by reorganizing indexes,"Run index optimization for high-usage tables.","1. Identify fragmented indexes\n2. Run OPTIMIZE TABLE\n3. Monitor performance","Restore backup schema if issue detected.","Query execution benchmarking."
ABC00104,PostgreSQL Extension Upgrade,PostgreSQL,true,Upgrade PostgreSQL extension,Upgrade Postgres extension like PostGIS or pgcrypto,"Perform controlled extension upgrade.","1. Check extension version\n2. Execute ALTER EXTENSION ... UPDATE\n3. Validate schema","Revert extension version from snapshot.","Run extension-specific feature tests."
ABC00105,MongoDB Replica Set Reconfiguration,MongoDB,true,Reconfigure replica set settings,Adjust MongoDB replication priorities or members,"Modify replica set config.","1. Connect to primary\n2. Apply rs.reconfig\n3. Monitor replication health","Reapply old config settings.","Validate replication lag and failover."
ABC00106,Linux Kernel Module Update,Linux,true,Update kernel modules,Apply new kernel module to fix compatibility issues,"Update Linux kernel module on production server.","1. Load new module using modprobe\n2. Update module config\n3. Reboot if necessary","Unload module and restore previous version.","Run dmesg checks and module functionality tests."
ABC00107,Windows Server DNS Cache Flush,Windows,true,Clear DNS resolver cache,Fix DNS stale entries by flushing cache,"Perform ipconfig /flushdns on Windows Server.","1. Notify affected teams\n2. Execute flushdns\n3. Validate name resolution","No rollback required.","Ping and nslookup validations."
ABC00108,AIX Filesystem Expansion,AIX,true,Expand filesystem on AIX server,Increase LV/Filesystem size due to space alert,"Extend filesystem using chfs and lvm commands.","1. Check VG/LV availability\n2. Expand filesystem\n3. Verify mount","Shrink LV or restore backup if issues occur.","Validate disk space and I/O performance."
ABC00109,Solaris SMF Service Recovery,Solaris,true,Recover failed SMF service,Fix SMF service stuck in maintenance mode,"Repair and restart SMF service.","1. Inspect service with svcs\n2. Run svcadm clear\n3. Restart service","Revert SMF changes using backup manifest.","Validate service start and logs."
ABC00110,RedHat SELinux Policy Adjustment,RedHat Linux,true,Modify SELinux rules,Update SELinux policies for application compatibility,"Apply SELinux rule modifications.","1. Create local policy module\n2. Apply with semodule\n3. Test application","Remove policy module.","Run application access and AVC log verification."
ABC00111,Oracle SQL Execution,Oracle Database,true,Execute performance tuning SQL query in Oracle DB,Controlled execution of SQL statement in Oracle environment,"Execute an Oracle SQL query for troubleshooting, validation, or tuning while minimizing production impact.","1. Connect via SQL*Plus/SQL Developer\n2. Run EXPLAIN PLAN\n3. Execute query with bind variables\n4. Validate results\n5. Capture AWR/ASH details","Rollback session settings; terminate session if locks occur; revert optimizer parameters.","Run query in lower environment; validate row count and performance; monitor AWR/ASH."
ABC00112,MySQL Query Execution,MySQL,true,Execute select/update SQL query in MySQL,Execute SQL query for data verification or maintenance,"Execute a MySQL SQL query for extraction or modification under controlled DBA procedure.","1. Login using MySQL CLI/Workbench\n2. Run EXPLAIN\n3. Execute query in transaction\n4. Commit changes\n5. Log affected rows","ROLLBACK transaction or restore using binary logs.","Run query in staging; validate row count; check table integrity."
ABC00113,PostgreSQL SQL Execution,PostgreSQL,true,Execute SQL command in PostgreSQL cluster,Perform SQL operation for correction or diagnostics,"Execute PostgreSQL SQL statement ensuring WAL and replication safety.","1. Connect with psql\n2. Enable timing\n3. Run EXPLAIN ANALYZE\n4. Execute SQL\n5. Verify via select","Rollback transaction or restore snapshot.","Validate replication status, WAL activity, and checksums."
ABC00114,SQL Server T-SQL Execution,Microsoft SQL Server,true,Execute T-SQL script in SQL Server,Execute T-SQL for data fix or analysis,"Execute SQL Server T-SQL query ensuring auditing and minimal locking.","1. Connect via SSMS\n2. Use implicit transaction\n3. Validate execution plan\n4. Commit transaction\n5. Review logs","Rollback transaction or restore differential backup.","Validate results, run DBCC CHECKTABLE, check blocking."
ABC00115,Sybase Query Execution,Sybase ASE,true,Execute SQL query in Sybase,Run SQL script safely in Sybase production,"Execute Sybase SQL query ensuring log segment usage stays below threshold.","1. Connect via isql\n2. Check log segment usage\n3. Execute SQL\n4. Validate locks\n5. Check replication","Rollback transaction or restore dump.","Validate replication lag and table integrity."
ABC00116,MongoDB Query Execution,MongoDB,true,Execute document-level query in MongoDB,Run MongoDB find/update query for fix or retrieval,"Execute MongoDB query ensuring index usage and replica-set safety.","1. Connect via mongosh\n2. Run explain()\n3. Execute query\n4. Validate document changes\n5. Monitor oplog","Revert from document backups or apply oplog revert.","Validate read/write ops; check replication; ensure shard balance."
ABC00117,Linux Command Execution,Linux Server,true,Execute controlled command on Linux server,Run Linux shell command or script safely,"Execute a Linux shell command or script in a controlled environment ensuring no service disruption.","1. SSH into server\n2. Validate command impact\n3. Run command with logging\n4. Monitor system logs\n5. Validate output","Revert file changes; stop/restart impacted services; restore from snapshot if needed.","Run test command on non-prod; validate service logs; check system stability."
ABC00118,Windows PowerShell Execution,Windows Server,true,Execute PowerShell command on Windows server,Run PowerShell script or command in Windows environment,"Execute a PowerShell command on Windows Server ensuring audit logging and controlled execution.","1. Connect via RDP/WinRM\n2. Run command in restricted mode\n3. Validate execution logs\n4. Review event viewer","Revert script changes; restore registry/files from backup.","Test PowerShell output; validate system event logs."
ABC00119,AIX Shell Command Execution,AIX Server,true,Execute command on AIX LPAR,Run AIX shell command safely,"Execute controlled AIX command using ksh ensuring minimal risk to LPAR stability.","1. SSH to AIX LPAR\n2. Validate OS health\n3. Execute command with nohup/logging\n4. Monitor errpt\n5. Confirm results","Revert configuration files; perform mksysb restoration if needed.","Run same command in test LPAR; check system logs (errpt)."
ABC00120,Solaris Command Execution,Solaris Server,true,Execute operational command in Solaris,Run Solaris command or script for maintenance,"Execute Solaris command using SMF-safe procedures ensuring no service interruption.","1. SSH to Solaris host\n2. Validate SMF service status\n3. Run command via bash/ksh\n4. Review /var/adm/messages\n5. Confirm service state","Rollback command changes; reapply old SMF configuration.","Run SMF checks; validate system message logs."
ABC00121,RedHat Linux Script Execution,RedHat Linux,true,Execute controlled script in RedHat server,Run script or operational command on RHEL,"Execute shell script/command in RedHat environment ensuring SELinux and service safety.","1. SSH to RHEL\n2. Check SELinux mode\n3. Execute script with verbose logging\n4. Validate journalctl logs\n5. Confirm system performance","Revert configuration file; roll back script changes; restore from backup.","Validate script output; check SELinux logs; perform functional testing."
ABC00122,Ubuntu Server Command Execution,Ubuntu Linux,true,Execute operational command on Ubuntu server,Run Bash command or script safely on Ubuntu,"Execute a controlled command or script on Ubuntu ensuring no service disruption.","1. SSH into Ubuntu server\n2. Validate system status\n3. Execute command with sudo privileges\n4. Monitor syslog\n5. Validate results","Revert config changes; restore affected files; restart impacted services.","Run command in test server; validate syslog entries; verify stability."
ABC00123,CentOS Server Script Execution,CentOS Server,true,Run maintenance script on CentOS,Execute Bash script for operational maintenance,"Execute a script on CentOS server ensuring minimal impact to services.","1. SSH to CentOS\n2. Review script logic\n3. Run script with logging enabled\n4. Validate output\n5. Monitor journal logs","Revert script changes; restore from backup if required.","Test script in non-prod; check service logs and system health."
ABC00124,SUSE Linux Command Execution,SUSE Linux,true,Execute controlled command on SUSE Linux,Run SUSE command for maintenance,"Execute a controlled SUSE command ensuring no system degradation.","1. SSH into SUSE server\n2. Validate OS health\n3. Execute command with elevated permissions\n4. Review /var/log/messages\n5. Confirm results","Undo configuration changes; restore backup config.","Validate command output; monitor logs; perform functionality tests."
